episode_name,dialogue,person_scene,stemmed_words,pos_tags,entities,filtered_words
Series 03 Episode 23 – The Lunar Excitation,Excuse me. I’m Amy Farrah Fowler. You’re Sheldon Cooper.,Amy,"['excus', 'im', 'ami', 'farrah', 'fowler', 'your', 'sheldon', 'cooper']","[('excuse', 'NOUN'), ('i', 'PRON'), ('m', 'VERB'), ('amy', 'ADV'), ('farrah', 'PROPN'), ('fowler', 'PROPN'), ('you', 'PRON'), ('re', 'VERB'), ('sheldon', 'PROPN'), ('cooper', 'NOUN')]","[('farrah fowler', 'PERSON')]","['excuse', 'im', 'amy', 'farrah', 'fowler', 'youre', 'sheldon', 'cooper']"
Series 03 Episode 23 – The Lunar Excitation," If that was slang, I’m unfamiliar with it. If it was literal, I share your aversion to soiled hosiery. In any case, I’m here because my mother and I have agreed that I will date at least once a year.",Amy,"['slang', 'im', 'unfamiliar', 'liter', 'share', 'avers', 'soil', 'hosieri', 'case', 'im', 'mother', 'agre', 'date', 'least', 'year']","[('slang', 'PROPN'), ('i', 'PRON'), ('m', 'VERB'), ('unfamiliar', 'ADJ'), ('literal', 'ADJ'), ('share', 'NOUN'), ('aversion', 'NOUN'), ('soiled', 'VERB'), ('hosiery', 'NOUN'), ('case', 'NOUN'), ('i', 'PRON'), ('m', 'VERB'), ('mother', 'NOUN'), ('agreed', 'VERB'), ('date', 'NOUN'), ('least', 'ADJ'), ('year', 'NOUN')]","[('slang', 'PERSON'), ('date least year', 'DATE')]","['slang', 'im', 'unfamiliar', 'literal', 'share', 'aversion', 'soiled', 'hosiery', 'case', 'im', 'mother', 'agreed', 'date', 'least', 'year']"
Series 03 Episode 23 – The Lunar Excitation," I don’t object to the concept of a deity, but I’m baffled by the notion of one that takes attendance.",Amy,"['dont', 'object', 'concept', 'deiti', 'im', 'baffl', 'notion', 'one', 'take', 'attend']","[('do', 'AUX'), ('nt', 'PART'), ('object', 'VERB'), ('concept', 'NOUN'), ('deity', 'NOUN'), ('i', 'PRON'), ('m', 'AUX'), ('baffled', 'VERB'), ('notion', 'NOUN'), ('one', 'PRON'), ('takes', 'VERB'), ('attendance', 'NOUN')]",[],"['dont', 'object', 'concept', 'deity', 'im', 'baffled', 'notion', 'one', 'takes', 'attendance']"
Series 03 Episode 23 – The Lunar Excitation," Noted. Now, before this goes any further, you should know that all forms of physical contact up to and including coitus are off the table.",Amy,"['note', 'goe', 'know', 'form', 'physic', 'contact', 'includ', 'coitu', 'tabl']","[('noted', 'VERB'), ('goes', 'VERB'), ('know', 'VERB'), ('forms', 'NOUN'), ('physical', 'ADJ'), ('contact', 'NOUN'), ('including', 'VERB'), ('coitus', 'NOUN'), ('table', 'NOUN')]",[],"['noted', 'goes', 'know', 'forms', 'physical', 'contact', 'including', 'coitus', 'table']"
Series 03 Episode 23 – The Lunar Excitation," Tepid water, please.",Amy,"['tepid', 'water', 'pleas']","[('tepid', 'NOUN'), ('water', 'NOUN'), ('please', 'INTJ')]",[],"['tepid', 'water', 'please']"
Series 04 Episode 01 – The Robotic Manipulation,Neurobiologist. Your check engine light is on.,Amy,"['neurobiologist', 'check', 'engin', 'light']","[('neurobiologist', 'PROPN'), ('check', 'NOUN'), ('engine', 'NOUN'), ('light', 'NOUN')]",[],"['neurobiologist', 'check', 'engine', 'light']"
Series 04 Episode 01 – The Robotic Manipulation,But the light indicates…,Amy,"['light', 'indicates…']","[('light', 'NOUN'), ('indicates', 'VERB'), ('…', 'PUNCT')]",[],"['light', 'indicates…']"
Series 04 Episode 01 – The Robotic Manipulation,Dandruff shampoo. I have dry scalp.,Amy,"['dandruff', 'shampoo', 'dri', 'scalp']","[('dandruff', 'PROPN'), ('shampoo', 'NOUN'), ('dry', 'ADJ'), ('scalp', 'NOUN')]",[],"['dandruff', 'shampoo', 'dry', 'scalp']"
Series 04 Episode 01 – The Robotic Manipulation,Are you a homosexual?,Amy,['homosexu'],"[('homosexual', 'PROPN')]",[],['homosexual']
Series 04 Episode 01 – The Robotic Manipulation,Hmm. Would have been more flattered if you were a homosexual.,Amy,"['hmm', 'would', 'flatter', 'homosexu']","[('hmm', 'INTJ'), ('would', 'AUX'), ('flattered', 'VERB'), ('homosexual', 'NOUN')]",[],"['hmm', 'would', 'flattered', 'homosexual']"
