episode_name,dialogue,person_scene,filtered_words,stemmed_words,pos_tags,entities
Series 03 Episode 23 – The Lunar Excitation,Excuse me. I’m Amy Farrah Fowler. You’re Sheldon Cooper.,Amy,"['excuse', 'im', 'amy', 'farrah', 'fowler', 'youre', 'sheldon', 'cooper']","['excus', 'im', 'ami', 'farrah', 'fowler', 'your', 'sheldon', 'cooper']","[('excuse', 'NOUN'), ('i', 'PRON'), ('m', 'VERB'), ('amy', 'ADV'), ('farrah', 'PROPN'), ('fowler', 'PROPN'), ('you', 'PRON'), ('re', 'VERB'), ('sheldon', 'PROPN'), ('cooper', 'NOUN')]","[('farrah fowler', 'PERSON')]"
Series 03 Episode 23 – The Lunar Excitation," If that was slang, I’m unfamiliar with it. If it was literal, I share your aversion to soiled hosiery. In any case, I’m here because my mother and I have agreed that I will date at least once a year.",Amy,"['slang', 'im', 'unfamiliar', 'literal', 'share', 'aversion', 'soiled', 'hosiery', 'case', 'im', 'mother', 'agreed', 'date', 'least', 'year']","['slang', 'im', 'unfamiliar', 'liter', 'share', 'avers', 'soil', 'hosieri', 'case', 'im', 'mother', 'agre', 'date', 'least', 'year']","[('slang', 'PROPN'), ('i', 'PRON'), ('m', 'VERB'), ('unfamiliar', 'ADJ'), ('literal', 'ADJ'), ('share', 'NOUN'), ('aversion', 'NOUN'), ('soiled', 'VERB'), ('hosiery', 'NOUN'), ('case', 'NOUN'), ('i', 'PRON'), ('m', 'VERB'), ('mother', 'NOUN'), ('agreed', 'VERB'), ('date', 'NOUN'), ('least', 'ADJ'), ('year', 'NOUN')]","[('slang', 'PERSON'), ('date least year', 'DATE')]"
Series 03 Episode 23 – The Lunar Excitation," I don’t object to the concept of a deity, but I’m baffled by the notion of one that takes attendance.",Amy,"['dont', 'object', 'concept', 'deity', 'im', 'baffled', 'notion', 'one', 'takes', 'attendance']","['dont', 'object', 'concept', 'deiti', 'im', 'baffl', 'notion', 'one', 'take', 'attend']","[('do', 'AUX'), ('nt', 'PART'), ('object', 'VERB'), ('concept', 'NOUN'), ('deity', 'NOUN'), ('i', 'PRON'), ('m', 'AUX'), ('baffled', 'VERB'), ('notion', 'NOUN'), ('one', 'PRON'), ('takes', 'VERB'), ('attendance', 'NOUN')]",[]
Series 03 Episode 23 – The Lunar Excitation," Noted. Now, before this goes any further, you should know that all forms of physical contact up to and including coitus are off the table.",Amy,"['noted', 'goes', 'know', 'forms', 'physical', 'contact', 'including', 'coitus', 'table']","['note', 'goe', 'know', 'form', 'physic', 'contact', 'includ', 'coitu', 'tabl']","[('noted', 'VERB'), ('goes', 'VERB'), ('know', 'VERB'), ('forms', 'NOUN'), ('physical', 'ADJ'), ('contact', 'NOUN'), ('including', 'VERB'), ('coitus', 'NOUN'), ('table', 'NOUN')]",[]
Series 03 Episode 23 – The Lunar Excitation," Tepid water, please.",Amy,"['tepid', 'water', 'please']","['tepid', 'water', 'pleas']","[('tepid', 'NOUN'), ('water', 'NOUN'), ('please', 'INTJ')]",[]
Series 04 Episode 01 – The Robotic Manipulation,Neurobiologist. Your check engine light is on.,Amy,"['neurobiologist', 'check', 'engine', 'light']","['neurobiologist', 'check', 'engin', 'light']","[('neurobiologist', 'PROPN'), ('check', 'NOUN'), ('engine', 'NOUN'), ('light', 'NOUN')]",[]
Series 04 Episode 01 – The Robotic Manipulation,But the light indicates…,Amy,"['light', 'indicates…']","['light', 'indicates…']","[('light', 'NOUN'), ('indicates', 'VERB'), ('…', 'PUNCT')]",[]
Series 04 Episode 01 – The Robotic Manipulation,Dandruff shampoo. I have dry scalp.,Amy,"['dandruff', 'shampoo', 'dry', 'scalp']","['dandruff', 'shampoo', 'dri', 'scalp']","[('dandruff', 'PROPN'), ('shampoo', 'NOUN'), ('dry', 'ADJ'), ('scalp', 'NOUN')]",[]
Series 04 Episode 01 – The Robotic Manipulation,Are you a homosexual?,Amy,['homosexual'],['homosexu'],"[('homosexual', 'PROPN')]",[]
Series 04 Episode 01 – The Robotic Manipulation,Hmm. Would have been more flattered if you were a homosexual.,Amy,"['hmm', 'would', 'flattered', 'homosexual']","['hmm', 'would', 'flatter', 'homosexu']","[('hmm', 'INTJ'), ('would', 'AUX'), ('flattered', 'VERB'), ('homosexual', 'NOUN')]",[]
Series 04 Episode 01 – The Robotic Manipulation," No, thank you.",Amy,['thank'],['thank'],"[('thank', 'VERB')]",[]
Series 04 Episode 01 – The Robotic Manipulation,No.,Amy,[],[],[],[]
Series 04 Episode 01 – The Robotic Manipulation,That’s an amusing factoid.,Amy,"['thats', 'amusing', 'factoid']","['that', 'amus', 'factoid']","[('that', 'PRON'), ('s', 'VERB'), ('amusing', 'ADJ'), ('factoid', 'NOUN')]",[]
Series 04 Episode 01 – The Robotic Manipulation,Is this true?,Amy,['true'],['true'],"[('true', 'ADJ')]",[]
Series 04 Episode 01 – The Robotic Manipulation," Once a year. It’s a deal I made with my mother in exchange for her silence on the matter, as well as the occasional use of her George Foreman Grill that seals in the flavour without the fat. How about you, Penny? Do you go on many dates?",Amy,"['year', 'deal', 'made', 'mother', 'exchange', 'silence', 'matter', 'well', 'occasional', 'use', 'george', 'foreman', 'grill', 'seals', 'flavour', 'without', 'fat', 'penny', 'go', 'many', 'dates']","['year', 'deal', 'made', 'mother', 'exchang', 'silenc', 'matter', 'well', 'occasion', 'use', 'georg', 'foreman', 'grill', 'seal', 'flavour', 'without', 'fat', 'penni', 'go', 'mani', 'date']","[('year', 'NOUN'), ('deal', 'NOUN'), ('made', 'VERB'), ('mother', 'NOUN'), ('exchange', 'NOUN'), ('silence', 'NOUN'), ('matter', 'NOUN'), ('well', 'ADV'), ('occasional', 'ADJ'), ('use', 'NOUN'), ('george', 'PROPN'), ('foreman', 'PROPN'), ('grill', 'NOUN'), ('seals', 'NOUN'), ('flavour', 'VERB'), ('without', 'ADP'), ('fat', 'ADJ'), ('penny', 'NOUN'), ('go', 'VERB'), ('many', 'ADJ'), ('dates', 'NOUN')]","[('george foreman', 'PERSON')]"
Series 04 Episode 01 – The Robotic Manipulation,Remarkable. Did you have sexual intercourse with all of these men?,Amy,"['remarkable', 'sexual', 'intercourse', 'men']","['remark', 'sexual', 'intercours', 'men']","[('remarkable', 'ADJ'), ('sexual', 'ADJ'), ('intercourse', 'NOUN'), ('men', 'NOUN')]",[]
Series 04 Episode 01 – The Robotic Manipulation," This is very interesting. Cultural perceptions are subjective. Penny, to your mind, are you a slut?",Amy,"['interesting', 'cultural', 'perceptions', 'subjective', 'penny', 'mind', 'slut']","['interest', 'cultur', 'percept', 'subject', 'penni', 'mind', 'slut']","[('interesting', 'ADJ'), ('cultural', 'ADJ'), ('perceptions', 'NOUN'), ('subjective', 'ADJ'), ('penny', 'NOUN'), ('mind', 'NOUN'), ('slut', 'NOUN')]",[]
Series 04 Episode 01 – The Robotic Manipulation,Does volunteering for a scientific experiment in which orgasm was achieved by electronically stimulating the pleasure centres of the brain count?,Amy,"['volunteering', 'scientific', 'experiment', 'orgasm', 'achieved', 'electronically', 'stimulating', 'pleasure', 'centres', 'brain', 'count']","['volunt', 'scientif', 'experi', 'orgasm', 'achiev', 'electron', 'stimul', 'pleasur', 'centr', 'brain', 'count']","[('volunteering', 'VERB'), ('scientific', 'ADJ'), ('experiment', 'NOUN'), ('orgasm', 'NOUN'), ('achieved', 'VERB'), ('electronically', 'ADV'), ('stimulating', 'VERB'), ('pleasure', 'NOUN'), ('centres', 'NOUN'), ('brain', 'NOUN'), ('count', 'NOUN')]",[]
Series 04 Episode 01 – The Robotic Manipulation,Then 128.,Amy,['128'],['128'],"[('128', 'NUM')]","[('128', 'CARDINAL')]"
Series 04 Episode 03 – The Zazzy Substitution," In a world where rhinoceroses are domesticated pets, who wins the Second World War?",Amy,"['world', 'rhinoceroses', 'domesticated', 'pets', 'wins', 'second', 'world', 'war']","['world', 'rhinoceros', 'domest', 'pet', 'win', 'second', 'world', 'war']","[('world', 'NOUN'), ('rhinoceroses', 'NOUN'), ('domesticated', 'VERB'), ('pets', 'NOUN'), ('wins', 'VERB'), ('second', 'ADJ'), ('world', 'NOUN'), ('war', 'NOUN')]","[('second', 'ORDINAL')]"
Series 04 Episode 03 – The Zazzy Substitution,Defend.,Amy,['defend'],['defend'],"[('defend', 'VERB')]",[]
Series 04 Episode 03 – The Zazzy Substitution,Correct. My turn.,Amy,"['correct', 'turn']","['correct', 'turn']","[('correct', 'ADJ'), ('turn', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution,Tuned bayonets.,Amy,"['tuned', 'bayonets']","['tune', 'bayonet']","[('tuned', 'VERB'), ('bayonets', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution,Isn’t it obvious?,Amy,"['isnt', 'obvious']","['isnt', 'obviou']","[('is', 'AUX'), ('nt', 'PART'), ('obvious', 'ADJ')]",[]
Series 04 Episode 03 – The Zazzy Substitution,We postulate an alternate world that differs from ours in one key aspect and then pose questions to each other.,Amy,"['postulate', 'alternate', 'world', 'differs', 'one', 'key', 'aspect', 'pose', 'questions']","['postul', 'altern', 'world', 'differ', 'one', 'key', 'aspect', 'pose', 'question']","[('postulate', 'VERB'), ('alternate', 'ADJ'), ('world', 'NOUN'), ('differs', 'VERB'), ('one', 'NUM'), ('key', 'ADJ'), ('aspect', 'NOUN'), ('pose', 'VERB'), ('questions', 'NOUN')]","[('one', 'CARDINAL')]"
Series 04 Episode 03 – The Zazzy Substitution," In a world ruled by a giant beaver, mankind builds many dams to please the beaver overlord. The low-lying city of Copenhagen is flooded. Thousands die. Devastated, the Danes never invent their namesake pastry. How does one miss that?",Amy,"['world', 'ruled', 'giant', 'beaver', 'mankind', 'builds', 'many', 'dams', 'please', 'beaver', 'overlord', 'lowlying', 'city', 'copenhagen', 'flooded', 'thousands', 'die', 'devastated', 'danes', 'never', 'invent', 'namesake', 'pastry', 'one', 'miss']","['world', 'rule', 'giant', 'beaver', 'mankind', 'build', 'mani', 'dam', 'pleas', 'beaver', 'overlord', 'lowli', 'citi', 'copenhagen', 'flood', 'thousand', 'die', 'devast', 'dane', 'never', 'invent', 'namesak', 'pastri', 'one', 'miss']","[('world', 'NOUN'), ('ruled', 'VERB'), ('giant', 'ADJ'), ('beaver', 'NOUN'), ('mankind', 'NOUN'), ('builds', 'VERB'), ('many', 'ADJ'), ('dams', 'NOUN'), ('please', 'INTJ'), ('beaver', 'VERB'), ('overlord', 'PROPN'), ('lowlying', 'PROPN'), ('city', 'PROPN'), ('copenhagen', 'PROPN'), ('flooded', 'VERB'), ('thousands', 'NOUN'), ('die', 'VERB'), ('devastated', 'VERB'), ('danes', 'NOUN'), ('never', 'ADV'), ('invent', 'VERB'), ('namesake', 'NOUN'), ('pastry', 'NOUN'), ('one', 'NUM'), ('miss', 'NOUN')]","[('thousands', 'CARDINAL'), ('one', 'CARDINAL')]"
Series 04 Episode 03 – The Zazzy Substitution,Is he always like this when he loses?,Amy,"['always', 'like', 'loses']","['alway', 'like', 'lose']","[('always', 'ADV'), ('like', 'VERB'), ('loses', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution,Perhaps it would be kinder to play a game more suited to his abilities. We’ll close our eyes and count to ten while you hide.,Amy,"['perhaps', 'would', 'kinder', 'play', 'game', 'suited', 'abilities', 'well', 'close', 'eyes', 'count', 'ten', 'hide']","['perhap', 'would', 'kinder', 'play', 'game', 'suit', 'abil', 'well', 'close', 'eye', 'count', 'ten', 'hide']","[('perhaps', 'ADV'), ('would', 'AUX'), ('kinder', 'VERB'), ('play', 'VERB'), ('game', 'NOUN'), ('suited', 'VERB'), ('abilities', 'NOUN'), ('well', 'ADV'), ('close', 'ADJ'), ('eyes', 'NOUN'), ('count', 'VERB'), ('ten', 'NUM'), ('hide', 'VERB')]","[('ten', 'CARDINAL')]"
Series 04 Episode 03 – The Zazzy Substitution," Very good, Leonard. But next time, don’t tell us where you’re hiding.",Amy,"['good', 'leonard', 'next', 'time', 'dont', 'tell', 'us', 'youre', 'hiding']","['good', 'leonard', 'next', 'time', 'dont', 'tell', 'us', 'your', 'hide']","[('good', 'ADJ'), ('leonard', 'NOUN'), ('next', 'ADJ'), ('time', 'NOUN'), ('do', 'AUX'), ('nt', 'PART'), ('tell', 'VERB'), ('us', 'PRON'), ('you', 'PRON'), ('re', 'AUX'), ('hiding', 'VERB')]",[]
Series 04 Episode 03 – The Zazzy Substitution,Hello.,Amy,['hello'],['hello'],"[('hello', 'INTJ')]",[]
Series 04 Episode 03 – The Zazzy Substitution,I must take responsibility. I had to stop for feminine hygiene supplies.,Amy,"['must', 'take', 'responsibility', 'stop', 'feminine', 'hygiene', 'supplies']","['must', 'take', 'respons', 'stop', 'feminin', 'hygien', 'suppli']","[('must', 'AUX'), ('take', 'VERB'), ('responsibility', 'NOUN'), ('stop', 'VERB'), ('feminine', 'ADJ'), ('hygiene', 'NOUN'), ('supplies', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution," Actually, I’m not. In order to avoid surprises, I wear them all the time.",Amy,"['actually', 'im', 'order', 'avoid', 'surprises', 'wear', 'time']","['actual', 'im', 'order', 'avoid', 'surpris', 'wear', 'time']","[('actually', 'ADV'), ('i', 'PRON'), ('m', 'AUX'), ('order', 'NOUN'), ('avoid', 'VERB'), ('surprises', 'NOUN'), ('wear', 'VERB'), ('time', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution,Shamy?,Amy,['shamy'],['shami'],"[('shamy', 'X')]",[]
Series 04 Episode 03 – The Zazzy Substitution,Oh. I don’t like that. Don’t do that.,Amy,"['oh', 'dont', 'like', 'dont']","['oh', 'dont', 'like', 'dont']","[('oh', 'INTJ'), ('do', 'AUX'), ('nt', 'PART'), ('like', 'VERB'), ('do', 'AUX'), ('nt', 'PART')]",[]
Series 04 Episode 03 – The Zazzy Substitution," Well, just recently, I learned that you refer to us as Shamy, and I don’t like that.",Amy,"['well', 'recently', 'learned', 'refer', 'us', 'shamy', 'dont', 'like']","['well', 'recent', 'learn', 'refer', 'us', 'shami', 'dont', 'like']","[('well', 'INTJ'), ('recently', 'ADV'), ('learned', 'VERB'), ('refer', 'VERB'), ('us', 'PRON'), ('shamy', 'NOUN'), ('do', 'AUX'), ('nt', 'PART'), ('like', 'VERB')]",[]
